CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR
188867,HP60SW 37,"Unst, Weston",Farmstead (Period Unassigned),462050,1204800,SHETLAND ISLANDS,SHETLAND,UNST,HP 6205 0480
189140,HU59NE 14,"Unst, Loch Of Heogland",Structure (Period Unassigned),457850,1199480,SHETLAND ISLANDS,SHETLAND,UNST,HU 5785 9948
189141,HU59NE 15,"Unst, Wester Heogland",Farmstead (Period Unassigned),457470,1199940,SHETLAND ISLANDS,SHETLAND,UNST,HU 5747 9994
189231,HU59NE 12,"Unst, Mula",Farmstead (Period Unassigned),456980,1199930,SHETLAND ISLANDS,SHETLAND,UNST,HU 5698 9993
194695,HP61SW 90,Norwick Meadow,Sheep Shelter (Period Unassigned),464670,1214460,SHETLAND ISLANDS,SHETLAND,UNST,HP 6467 1446
194696,HP61SW 91,Mullapund,Building (Period Unassigned),464290,1213560,SHETLAND ISLANDS,SHETLAND,UNST,HP 6429 1356
243304,HP50NE 58,"Unst, Burn Of Scrovnagill",Clearance Cairn (Period Unassigned)(Possible),459000,1209000,SHETLAND ISLANDS,SHETLAND,UNST,HP 590 090
243309,HP60NW 83,"Unst, Caldback",House (Norse)(Possible),460400,1207100,SHETLAND ISLANDS,SHETLAND,UNST,HP 604 071
243310,HP60SW 62,"Unst, Vord Hill","Cairn (Period Unassigned)(Possible), Chambered Cairn (Neolithic)(Possible), Standing Stone (Prehistoric)",461100,1204000,SHETLAND ISLANDS,SHETLAND,UNST,HP 611 040
243314,HP60NW 84,"Unst, Hill Of Colvadale",Chambered Cairn(S) (Neolithic)(Possible),461700,1205900,SHETLAND ISLANDS,SHETLAND,UNST,HP 617 059
243315,HP60NW 85,"Unst, Hill Of Colvadale",Chambered Cairn (Neolithic)(Possible),461400,1205800,SHETLAND ISLANDS,SHETLAND,UNST,HP 614 058
243316,HP60NW 86,"Unst, Burn Of Welbigarth",Cairn(S) (Period Unassigned),462100,1205300,SHETLAND ISLANDS,SHETLAND,UNST,HP 621 053
243326,HP60NW 87,"Unst, Helliers Water",Clearance Cairn (Period Unassigned),461200,1205100,SHETLAND ISLANDS,SHETLAND,UNST,HP 612 051
243327,HP60NW 88,"Unst, Hill Of Colvadale",Chambered Cairn (Neolithic)(Possible),462100,1205600,SHETLAND ISLANDS,SHETLAND,UNST,HP 621 056
243328,HP60NW 89,"Unst, Hill Of Colvadale","Enclosure (Period Unassigned), Structure (Period Unassigned)",462300,1206000,SHETLAND ISLANDS,SHETLAND,UNST,HP 623 060
243329,HP60NW 90,"Unst, Virda Field",Chambered Cairn (Neolithic)(Possible),462600,1206900,SHETLAND ISLANDS,SHETLAND,UNST,HP 626 069
243338,HP61SW 109,"Unst, Tull Geo",Lithic Implement (Stone),464300,1211000,SHETLAND ISLANDS,SHETLAND,UNST,HP 643 110
243346,HP60NW 91,"Unst, Swinna Ness",Grave(S) (Period Unassigned),464500,1209200,SHETLAND ISLANDS,SHETLAND,UNST,HP 645 092
243354,HP60NW 92,"Unst, Hill Of Colvadale","Chambered Cairn(S) (Neolithic)(Possible), Enclosure(S) (Period Unassigned)",461800,1206200,SHETLAND ISLANDS,SHETLAND,UNST,HP 618 062
243367,HP61SW 110,"Unst, Setters Quarry",Structure (Period Unassigned),464100,1211100,SHETLAND ISLANDS,SHETLAND,UNST,HP 641 111
243368,HP60NW 93,"Unst, Virda Field",Chambered Cairn (Neolithic)(Possible),462500,1207000,SHETLAND ISLANDS,SHETLAND,UNST,HP 625 070
243369,HP61SW 111,"Unst, The Punds",Midden(S) (Period Unassigned),464200,1211500,SHETLAND ISLANDS,SHETLAND,UNST,HP 642 115
